_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr298-116,2019-01-08 00:01:00,"To reduce a portion of the annual pay of Members of Congress for the failure to adopt a concurrent resolution on the budget which does not provide for a balanced budget, and for other purposes.",False,False,116,Balanced Budget Accountability Act,Congress,hr
hr299-116,2019-01-08 00:01:00,"To amend title 38, United States Code, to clarify presumptions relating to the exposure of certain veterans who served in the vicinity of the Republic of Vietnam, and for other purposes.",True,True,116,Blue Water Navy Vietnam Veterans Act of 2019,Armed Forces and National Security,hr
hr300-116,2019-01-08 00:01:00,"To provide for additional safeguards with respect to imposing Federal mandates, and for other purposes.",False,False,116,Unfunded Mandates Information and Transparency Act of 2019,Government Operations and Politics,hr
hr301-116,2019-01-08 00:01:00,"Making appropriations for Federal employees working during the Government shutdown beginning on or about December 22, 2018, and for other purposes.",False,False,116,Providing Pay for Essential Employees Act,Government Operations and Politics,hr
hr302-116,2019-01-08 00:01:00,To amend the Internal Revenue Code of 1986 to provide equitable treatment for residents of Puerto Rico with respect to the refundable portion of the child tax credit and to provide the same treatment to families in Puerto Rico with one child or two children that is currently provided to island families with three or more children.,False,False,116,Child Tax Credit Equity for Puerto Rico Act of 2019,Taxation,hr
hr303-116,2019-01-08 00:01:00,"To amend title 10, United States Code, to permit additional retired members of the Armed Forces who have a service-connected disability to receive both disability compensation from the Department of Veterans Affairs for their disability and either retired pay by reason of their years of military service or combat-related special compensation.",False,False,116,Retired Pay Restoration Act,Armed Forces and National Security,hr
hr304-116,2019-01-08 00:01:00,"To authorize the Secretary of the Interior to convey certain land to La Paz County, Arizona, and for other purposes.",False,False,116,La Paz County Land Conveyance Act of 2019,Public Lands and Natural Resources,hr
hr305-116,2019-01-08 00:01:00,To provide that human life shall be deemed to begin with fertilization.,False,False,116,Sanctity of Human Life Act,Health,hr
hr306-116,2019-01-08 00:01:00,"To direct the Secretary of the Interior to conduct a special resource study of the site of the Kettle Creek Battlefield in Wilkes County, Georgia, and adjacent property, and for other purposes.",False,False,116,Kettle Creek Battlefield Study Act,Public Lands and Natural Resources,hr
hr307-116,2019-01-08 00:01:00,"To provide for partnerships among State and local governments, regional entities, and the private sector to preserve, conserve, and enhance the visitor experience at nationally significant battlefields of the American Revolution, War of 1812, and Civil War, and for other purposes.",False,False,116,Preserving America's Battlefields Act,Public Lands and Natural Resources,hr
hr308-116,2019-01-08 00:01:00,"To redesignate Gravelly Point Park, located along the George Washington Memorial Parkway in Arlington County, Virginia, as the Nancy Reagan Memorial Park, and for other purposes.",False,False,116,"To redesignate Gravelly Point Park, located along the George Washington Memorial Parkway in Arlington County, Virginia, as the Nancy Reagan Memorial Park, and for other purposes.",Public Lands and Natural Resources,hr
hr309-116,2019-01-08 00:01:00,To prohibit drilling in the Arctic Ocean.,False,False,116,Stop Arctic Ocean Drilling Act of 2019,Energy,hr
hr310-116,2019-01-08 00:01:00,"To amend the Outer Continental Shelf Lands Act to permanently prohibit the conduct of offshore drilling on the outer Continental Shelf off the coast of California, Oregon, and Washington.",False,False,116,West Coast Ocean Protection Act of 2019,Energy,hr
hr311-116,2019-01-08 00:01:00,To redesignate the Department of the Navy as the Department of the Navy and Marine Corps.,False,False,116,To redesignate the Department of the Navy as the Department of the Navy and Marine Corps.,Armed Forces and National Security,hr
hr312-116,2019-01-08 00:01:00,"To reaffirm the Mashpee Wampanoag Tribe reservation, and for other purposes.",True,False,116,Mashpee Wampanoag Tribe Reservation Reaffirmation Act,Native Americans,hr
hr313-116,2019-01-08 00:01:00,"To authorize the Secretary of the Interior to carry out a land exchange involving lands within the boundaries of the Cape Cod National Seashore, and for other purposes.",False,False,116,"To authorize the Secretary of the Interior to carry out a land exchange involving lands within the boundaries of the Cape Cod National Seashore, and for other purposes.",Public Lands and Natural Resources,hr
hr314-116,2019-01-08 00:01:00,"To include Livingston County, the city of Jonesboro in Union County, and the city of Freeport in Stephenson County, Illinois, in the Lincoln National Heritage Area, and for other purposes.",False,False,116,Abraham Lincoln National Heritage Area Amendment Act,Public Lands and Natural Resources,hr
hr315-116,2019-01-08 00:01:00,"To amend the Surface Mining Control and Reclamation Act of 1977 to authorize partnerships between States and nongovernmental entities for the purpose of reclaiming and restoring land and water resources adversely affected by coal mining activities before August 3, 1977, and for other purposes.",False,False,116,Community Reclamation Partnerships Act,Environmental Protection,hr
hr316-116,2019-01-08 00:01:00,"To authorize the Secretary of the Interior and the Secretary of Agriculture to issue permits for recreation services on lands managed by Federal agencies, and for other purposes.",False,False,116,GO Act,Public Lands and Natural Resources,hr
hr317-116,2019-01-08 00:01:00,"To reaffirm the action of the Secretary of the Interior to take land into trust for the benefit of the Santa Ynez Band of Chumash Mission Indians, and for other purposes.",True,False,116,Santa Ynez Band of Chumash Indians Land Affirmation Act of 2019,Native Americans,hr
hr318-116,2019-01-08 00:01:00,To reauthorize the National Geologic Mapping Act of 1992.,False,False,116,National Geologic Mapping Act Reauthorization Act,"Science, Technology, Communications",hr
hr319-116,2019-01-08 00:01:00,"To amend the Wild and Scenic Rivers Act to designate certain river segments within the Wood-Pawcatuck watershed as components of the National Wild and Scenic Rivers System, and for other purposes.",False,False,116,Wood-Pawcatuck Watershed Wild and Scenic River Act,Public Lands and Natural Resources,hr
hr320-116,2019-01-08 00:01:00,"To expand and enhance existing adult day programs for younger people with neurological diseases or conditions (such as multiple sclerosis, Parkinson's disease, traumatic brain injury, or other similar diseases or conditions) to support and improve access to respite services for family caregivers who are taking care of such people, and for other purposes.",False,False,116,Adult Day Center Enhancement Act,Families,hr
hr321-116,2019-01-08 00:01:00,"To amend the Public Health Service Act to create a National Neuromyelitis Optica Consortium to provide grants and coordinate research with respect to the causes of, and risk factors associated with, neuromyelitis optica, and for other purposes.",False,False,116,Neuromyelitis Optica Consortium Act,Health,hr
hr322-116,2019-01-08 00:01:00,To amend the Internal Revenue Code of 1986 to provide the work opportunity tax credit with respect to the hiring of veterans in the field of renewable energy.,False,False,116,INVEST Act,Taxation,hr
