_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
False,hr2581-116,2019-01-08 00:05:00,"To amend the Public Health Service Act to establish direct care registered nurse-to-patient staffing ratio requirements in hospitals, and for other purposes.",False,False,116,Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act of 2019,Health,hr
False,hr2582-116,2019-01-08 00:05:00,"To amend the Controlled Substances Act to require the Attorney General to make procurement quotas for opioid analgesics publicly available, and for other purposes.",False,False,116,Opioid QuOTA Act,Crime and Law Enforcement,hr
False,hr2583-116,2019-01-08 00:05:00,"To designate Union Station in Washington, DC, as ""Harry S. Truman Union Station"".",False,False,116,"To designate Union Station in Washington, DC, as ""Harry S. Truman Union Station"".",Government Operations and Politics,hr
False,hr2584-116,2019-01-08 00:05:00,To amend the Congressional Budget Act of 1974 respecting the scoring of preventive health savings.,False,False,116,To amend the Congressional Budget Act of 1974 respecting the scoring of preventive health savings.,Economics and Public Finance,hr
False,hr2585-116,2019-01-08 00:05:00,To establish a Federal Advisory Council to Support Victims of Gun Violence.,False,False,116,Resources for Victims of Gun Violence Act of 2019,Crime and Law Enforcement,hr
False,hr2586-116,2019-01-08 00:05:00,"To require the collection of voluntary feedback on services provided by agencies, and for other purposes.",False,False,116,Federal Agency Customer Experience Act of 2019,Government Operations and Politics,hr
False,hr2587-116,2019-01-08 00:05:00,"To require the Commissioner of Food and Drugs to develop standards for a ""Reef Safe"" label for sunscreen.",False,False,116,Reef Safe Act of 2019,Health,hr
False,hr2588-116,2019-01-08 00:05:00,"To require the Administrator of the Environmental Protection Agency to conduct a study on the effects of oxybenzone and octinoxate on the environment and public health, and for other purposes.",False,False,116,Oxybenzone and Octinoxate Impact Study Act of 2019,Environmental Protection,hr
True,hr2589-116,2019-01-08 00:05:00,"To amend the Homeland Security Act of 2002 to establish a homeland intelligence doctrine for the Department of Homeland Security, and for other purposes.",True,False,116,Unifying DHS Intelligence Enterprise Act,Emergency Management,hr
True,hr2590-116,2019-01-08 00:05:00,"To require a Department of Homeland Security overseas personnel enhancement plan, and for other purposes.",True,False,116,DHS Overseas Personnel Enhancement Act of 2019,Emergency Management,hr
False,hr2591-116,2019-01-08 00:05:00,"To prohibit the waste incineration of per- and polyfluoroalkyl substances, and for other purposes.",False,False,116,PFAS Waste Incineration Ban Act of 2019,Environmental Protection,hr
False,hr2592-116,2019-01-08 00:05:00,"To enhance transparency and accountability for online political advertisements by requiring those who purchase and publish such ads to disclose information about the advertisements to the public, and for other purposes.",False,False,116,Honest Ads Act,Government Operations and Politics,hr
False,hr2593-116,2019-01-08 00:05:00,"To require the Secretary of the Treasury to collect data and issue a report on the opportunity zone tax incentives enacted by the 2017 tax reform legislation, and for other purposes.",False,False,116,"To require the Secretary of the Treasury to collect data and issue a report on the opportunity zone tax incentives enacted by the 2017 tax reform legislation, and for other purposes.",Taxation,hr
False,hr2594-116,2019-01-08 00:05:00,To amend title XVIII of the Social Security Act to provide for payments for certain rural health clinic and federally qualified health center services furnished to hospice patients under the Medicare program.,False,False,116,Rural Access to Hospice Act of 2019,Health,hr
False,hr2595-116,2019-01-08 00:05:00,To amend the Higher Education Act of 1965 to increase the income limit of the simplified needs test.,False,False,116,Improving Middle Class Access to Higher Education Act,Education,hr
False,hr2596-116,2019-01-08 00:05:00,"To amend the Toxic Substances Control Act with respect to manufacturing and processing notices for per- and polyfluoroalkyl substances, and for other purposes.",False,False,116,Protecting Communities from New PFAS Act,Environmental Protection,hr
False,hr2597-116,2019-01-08 00:05:00,"To amend the Public Utility Regulatory Policies Act of 1978 to establish a market-oriented standard for clean electric energy generation, and for other purposes.",False,False,116,Clean Energy Standard Act of 2019,Energy,hr
False,hr2598-116,2019-01-08 00:05:00,"To amend title 10, United States Code, to allow members of the Armed Forces to use Department of Defense tuition assistance to pay for education or training at lower or lateral degree levels.",False,False,116,Developing Education by Leveraging Tuition Assistance Act,Armed Forces and National Security,hr
False,hr2599-116,2019-01-08 00:05:00,"To amend the Public Health Service Act to require State educational agencies and tribal educational agencies receiving funds under section 520A of such Act to establish and implement a school-based student suicide awareness and prevention training policy and school threat assessment team policy, and for other purposes.",False,False,116,Suicide and Threat Assessment Nationally Dedicated to Universal Prevention Act of 2019,Health,hr
False,hr2600-116,2019-01-08 00:05:00,"To regulate per- and polyfluoroalkyl substances under the Toxic Substances Control Act, and for other purposes.",False,False,116,Toxic PFAS Control Act,Environmental Protection,hr
False,hr2601-116,2019-01-08 00:05:00,"To direct the Federal Communications Commission to establish the Office of Rural Telecommunications, and for other purposes.",False,False,116,Office of Rural Telecommunications Act,"Science, Technology, Communications",hr
False,hr2602-116,2019-01-08 00:05:00,To amend titles XIX and XXI of the Social Security Act to improve Medicaid and the Children's Health Insurance Program for low-income mothers.,False,False,116,Healthy MOMMIES Act,Health,hr
